2020-05-27 18:27:49 INFO  EmployeeTest:71 - TestNG-test=Driscolls API App Test Cases-1 Get request is executed Successfully
2020-05-27 18:27:51 INFO  EmployeeTest:66 - TestNG-test=Driscolls API App Test Cases-1 Get Employee tc started
2020-05-27 18:27:52 INFO  EmployeeTest:71 - TestNG-test=Driscolls API App Test Cases-1 Get request is executed Successfully
2020-05-27 18:27:54 INFO  EmployeeTest:86 - TestNG-test=Driscolls API App Test Cases-1 Post Employee Details tc started
2020-05-27 18:27:55 INFO  EmployeeTest:106 - TestNG-test=Driscolls API App Test Cases-1 Post request is executed Successfully
2020-05-27 18:27:55 INFO  EmployeeTest:119 - TestNG-test=Driscolls API App Test Cases-1Post Employee details created Successfully
2020-05-27 18:27:55 INFO  EmployeeTest:127 - TestNG-test=Driscolls API App Test Cases-1 Get Employee Details based on ID search tc started
2020-05-27 18:27:56 INFO  EmployeeTest:127 - TestNG-test=Driscolls API App Test Cases-1 Get Employee Details based on ID search tc started
2020-05-27 18:27:58 INFO  EmployeeTest:148 - TestNG-test=Driscolls API App Test Cases-1 Update Employee Details tc started
2020-05-27 18:27:59 INFO  EmployeeTest:168 - TestNG-test=Driscolls API App Test Cases-1 Update request is executed Successfully
2020-05-27 18:27:59 INFO  EmployeeTest:179 - TestNG-test=Driscolls API App Test Cases-1 Employee details Updated Successfully
2020-05-27 18:27:59 INFO  EmployeeTest:188 - TestNG-test=Driscolls API App Test Cases-1 Delete Employee Details tc started
2020-05-27 18:28:00 INFO  EmployeeTest:195 - TestNG-test=Driscolls API App Test Cases-1 Delete request is executed Successfully
2020-05-27 18:28:00 INFO  EmployeeTest:199 - TestNG-test=Driscolls API App Test Cases-1 Employee details Deleted Successfully
2020-05-27 18:28:00 INFO  EmployeeTest:207 - TestNG-test=Driscolls API App Test Cases-1 *************** Execution Completed ********************
2020-05-27 18:29:31 INFO  EmployeeTest:57 - main****************** Execution  Started ****************
2020-05-27 18:29:32 INFO  EmployeeTest:66 - TestNG-test=Driscolls API App Test Cases-1 Get Employee tc started
2020-05-27 18:29:35 INFO  EmployeeTest:71 - TestNG-test=Driscolls API App Test Cases-1 Get request is executed Successfully
2020-05-27 18:29:37 INFO  EmployeeTest:66 - TestNG-test=Driscolls API App Test Cases-1 Get Employee tc started
2020-05-27 18:29:37 INFO  EmployeeTest:71 - TestNG-test=Driscolls API App Test Cases-1 Get request is executed Successfully
2020-05-27 18:29:40 INFO  EmployeeTest:86 - TestNG-test=Driscolls API App Test Cases-1 Post Employee Details tc started
2020-05-27 18:29:41 INFO  EmployeeTest:106 - TestNG-test=Driscolls API App Test Cases-1 Post request is executed Successfully
2020-05-27 18:29:41 INFO  EmployeeTest:119 - TestNG-test=Driscolls API App Test Cases-1Post Employee details created Successfully
2020-05-27 18:29:41 INFO  EmployeeTest:127 - TestNG-test=Driscolls API App Test Cases-1 Get Employee Details based on ID search tc started
2020-05-27 18:29:42 INFO  EmployeeTest:127 - TestNG-test=Driscolls API App Test Cases-1 Get Employee Details based on ID search tc started
2020-05-27 18:29:45 INFO  EmployeeTest:148 - TestNG-test=Driscolls API App Test Cases-1 Update Employee Details tc started
2020-05-27 18:29:46 INFO  EmployeeTest:168 - TestNG-test=Driscolls API App Test Cases-1 Update request is executed Successfully
2020-05-27 18:29:46 INFO  EmployeeTest:179 - TestNG-test=Driscolls API App Test Cases-1 Employee details Updated Successfully
2020-05-27 18:29:46 INFO  EmployeeTest:188 - TestNG-test=Driscolls API App Test Cases-1 Delete Employee Details tc started
2020-05-27 18:29:47 INFO  EmployeeTest:195 - TestNG-test=Driscolls API App Test Cases-1 Delete request is executed Successfully
2020-05-27 18:29:47 INFO  EmployeeTest:199 - TestNG-test=Driscolls API App Test Cases-1 Employee details Deleted Successfully
2020-05-27 18:29:47 INFO  EmployeeTest:207 - TestNG-test=Driscolls API App Test Cases-1 *************** Execution Completed ********************
